date,julian_day,trt,block,plot,subplot,plant_ID,taxon,functional group,cover,notes
5.30.2019,151,N5,5,59,B,112,POA PRATENSIS,GRASS,2,
5.30.2019,151,N5,5,59,B,113,RUMEX ACETOSELLA,FORB,1,
5.30.2019,151,N5,5,59,B,114,SMILACINA RACEMOSA,FORB,3,
5.30.2019,151,N5,5,59,B,115,SOLIDAGO SP,FORB,1,
6.18.2019,169,NPK_H,1,1,A,116,ANDROPOGON GERARDII,GRASS,10,
6.18.2019,169,NPK_H,1,1,A,117,CAREX SP,GRAMINOID,3,
6.18.2019,169,NPK_H,1,1,A,118,LITTER,LITTER,80,
6.18.2019,169,NPK_H,1,1,A,119,POA PRATENSIS,GRASS,5,
6.18.2019,169,NPK_H,1,1,A,120,RUMEX ACETOSELLA,FORB,2,
6.18.2019,169,NP,1,2,A,121,ACHILLEA MILLEFOLIUM,FORB,4,
6.18.2019,169,NP,1,2,A,122,AGROPYRON REPENS,GRASS,15,
6.18.2019,169,NP,1,2,A,123,BARE GROUND,BARE GROUND,20,
6.18.2019,169,NP,1,2,A,124,LITTER,LITTER,50,
6.18.2019,169,NP,1,2,A,125,PANICUM OLIGOSANTHES,GRASS,0.5,
6.18.2019,169,NP,1,2,A,126,POA PRATENSIS,GRASS,10,
6.18.2019,169,NP,1,2,A,127,SCHIZACHYRIUM SCOPARIUM,GRASS,1,
6.18.2019,169,NPK,1,3,D,128,AGROPYRON REPENS,GRASS,28,
6.18.2019,169,NPK,1,3,D,129,BARE GROUND,BARE GROUND,3,
6.18.2019,169,NPK,1,3,D,130,BERTEROA INCANA,FORB,1,
6.18.2019,169,NPK,1,3,D,131,LITTER,LITTER,40,
6.18.2019,169,NPK,1,3,D,132,POA PRATENSIS,GRASS,28,
6.18.2019,169,K,1,4,B,133,ACHILLEA MILLEFOLIUM,FORB,4,
6.18.2019,169,K,1,4,B,134,ANDROPOGON GERARDII,GRASS,5,
6.18.2019,169,K,1,4,B,135,ANTENNARIA NEGLECTA,FORB,1,
6.18.2019,169,K,1,4,B,136,CAREX SP,GRAMINOID,3,
6.18.2019,169,K,1,4,B,137,LITTER,LITTER,80,
6.18.2019,169,K,1,4,B,138,PANICUM OLIGOSANTHES,GRASS,1,
6.18.2019,169,K,1,4,B,139,SCHIZACHYRIUM SCOPARIUM,GRASS,4,
6.18.2019,169,K,1,4,B,140,SOLIDAGO SP,FORB,3,
6.18.2019,169,N5,1,5,D,141,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,N5,1,5,D,142,ANDROPOGON GERARDII,GRASS,10,
6.18.2019,169,N5,1,5,D,143,ASCLEPIAS SYRIACA,FORB,1,
6.18.2019,169,N5,1,5,D,144,CAREX SP,GRAMINOID,5,
6.18.2019,169,N5,1,5,D,145,LITTER,LITTER,80,
6.18.2019,169,N5,1,5,D,146,POA PRATENSIS,GRASS,2,
6.18.2019,169,N5,1,5,D,147,RUMEX ACETOSELLA,FORB,1,
6.18.2019,169,N5,1,5,D,148,SOLIDAGO SP,FORB,0.25,
6.18.2019,169,PK,1,6,B,149,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,PK,1,6,B,150,AGROPYRON REPENS,GRASS,8,
6.18.2019,169,PK,1,6,B,151,ANDROPOGON GERARDII,GRASS,3,
6.18.2019,169,PK,1,6,B,152,LITTER,LITTER,85,
6.18.2019,169,PK,1,6,B,153,POA PRATENSIS,GRASS,2,
6.18.2019,169,N10,1,7,C,154,ANDROPOGON GERARDII,GRASS,6,
6.18.2019,169,N10,1,7,C,155,ANTENNARIA NEGLECTA,FORB,1,
6.18.2019,169,N10,1,7,C,156,BARE GROUND,BARE GROUND,5,
6.18.2019,169,N10,1,7,C,157,CAREX SP,GRAMINOID,4,
6.18.2019,169,N10,1,7,C,158,LITTER,LITTER,75,
6.18.2019,169,N10,1,7,C,159,PANICUM SP,GRASS,1,
6.18.2019,169,N10,1,7,C,160,RUMEX ACETOSELLA,FORB,5,
6.18.2019,169,N10,1,7,C,161,SCHIZACHYRIUM SCOPARIUM,GRASS,2,
6.18.2019,169,P,1,8,A,162,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,P,1,8,A,163,ANDROPOGON GERARDII,GRASS,9,
6.18.2019,169,P,1,8,A,164,BARE GROUND,BARE GROUND,5,
6.18.2019,169,P,1,8,A,165,CAREX SP,GRAMINOID,4,
6.18.2019,169,P,1,8,A,166,ERIGERON CANADENSIS,FORB,0.5,
6.18.2019,169,P,1,8,A,167,LESPEDEZA CAPITATA,FORB,0.25,
6.18.2019,169,P,1,8,A,168,LITTER,LITTER,75,
6.18.2019,169,P,1,8,A,169,MYSTERY FORB,FORB,0.5,
6.18.2019,169,P,1,8,A,170,PANICUM SP,GRASS,1,
6.18.2019,169,P,1,8,A,171,POA PRATENSIS,GRASS,3,
6.18.2019,169,P,1,8,A,172,RUMEX ACETOSELLA,FORB,0.25,
6.18.2019,169,P,1,8,A,173,SOLIDAGO SP,FORB,4,
6.18.2019,169,N1,1,9,C,174,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,N1,1,9,C,175,AGROPYRON REPENS,GRASS,0.5,
6.18.2019,169,N1,1,9,C,176,ANDROPOGON GERARDII,GRASS,4,
6.18.2019,169,N1,1,9,C,177,ARABIS DIVARICARPA,FORB,0.5,Questionable ID.
6.18.2019,169,N1,1,9,C,178,CAREX SP,GRAMINOID,17,
6.18.2019,169,N1,1,9,C,179,LITTER,LITTER,77,
6.18.2019,169,C_H,1,10,D,180,ACHILLEA MILLEFOLIUM,FORB,3,
6.18.2019,169,C_H,1,10,D,181,ANDROPOGON GERARDII,GRASS,14,
6.18.2019,169,C_H,1,10,D,182,ANTENNARIA NEGLECTA,FORB,1,
6.18.2019,169,C_H,1,10,D,183,CAREX SP,GRAMINOID,2,
6.18.2019,169,C_H,1,10,D,184,EQUISETUM LAEVIGATUM,FORB,0.5,
6.18.2019,169,C_H,1,10,D,185,LESPEDEZA CAPITATA,FORB,0.5,
6.18.2019,169,C_H,1,10,D,186,LITTER,LITTER,75,
6.18.2019,169,C_H,1,10,D,187,SCHIZACHYRIUM SCOPARIUM,GRASS,5,
6.18.2019,169,C_H,1,10,D,188,SOLIDAGO SP,FORB,0.5,
6.18.2019,169,C,1,11,B,189,ACHILLEA MILLEFOLIUM,FORB,4,
6.18.2019,169,C,1,11,B,190,ANDROPOGON GERARDII,GRASS,14,
6.18.2019,169,C,1,11,B,191,ANTENNARIA NEGLECTA,FORB,2,
6.18.2019,169,C,1,11,B,192,BARE GROUND,BARE GROUND,5,
6.18.2019,169,C,1,11,B,193,CAREX SP,GRAMINOID,10,
6.18.2019,169,C,1,11,B,194,LITTER,LITTER,60,
6.18.2019,169,C,1,11,B,195,LYCHNIS ALBA,FORB,2,
6.18.2019,169,C,1,11,B,196,POA PRATENSIS,GRASS,1,
6.18.2019,169,C,1,11,B,197,SOLIDAGO SP,FORB,2,
6.18.2019,169,NK,1,12,D,198,AGROPYRON REPENS,GRASS,40,
6.18.2019,169,NK,1,12,D,199,BARE GROUND,BARE GROUND,4,
6.18.2019,169,NK,1,12,D,200,ERIGERON CANADENSIS,FORB,0.5,
6.18.2019,169,NK,1,12,D,201,LITTER,LITTER,35,
6.18.2019,169,NK,1,12,D,202,POA PRATENSIS,GRASS,20,
6.18.2019,169,NK,1,12,D,203,RUMEX ACETOSELLA,FORB,2,
6.18.2019,169,C,2,13,B,204,ACHILLEA MILLEFOLIUM,FORB,3,
6.18.2019,169,C,2,13,B,205,ANDROPOGON GERARDII,GRASS,10,
6.18.2019,169,C,2,13,B,206,CAREX SP,GRAMINOID,6,
6.18.2019,169,C,2,13,B,207,EQUISETUM LAEVIGATUM,FORB,0.25,
6.18.2019,169,C,2,13,B,208,LITTER,LITTER,75,
6.18.2019,169,C,2,13,B,209,SCHIZACHYRIUM SCOPARIUM,GRASS,5,
6.18.2019,169,C,2,13,B,210,SOLIDAGO SP,FORB,0.25,
6.18.2019,169,NK,2,14,B,211,AGROPYRON REPENS,GRASS,35,
6.18.2019,169,NK,2,14,B,212,BARE GROUND,BARE GROUND,25,
6.18.2019,169,NK,2,14,B,213,ERIGERON CANADENSIS,FORB,8,
6.18.2019,169,NK,2,14,B,214,LITTER,LITTER,16,
6.18.2019,169,NK,2,14,B,215,MYSTERY FORB,FORB,0.25,"Unsure of ID, see pictures. Unknown rosette from seedbank: rosette #2"
6.18.2019,169,NK,2,14,B,216,POA PRATENSIS,GRASS,15,
6.18.2019,169,PK,2,15,B,217,AGROPYRON REPENS,GRASS,10,
6.18.2019,169,PK,2,15,B,218,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,PK,2,15,B,219,LITTER,LITTER,85,
6.18.2019,169,PK,2,15,B,220,POA PRATENSIS,GRASS,4,
6.18.2019,169,PK,2,15,B,221,TOXICODENDRON RADICANS,FORB,1,
6.18.2019,169,NP,2,16,A,222,AGROPYRON REPENS,GRASS,30,
6.18.2019,169,NP,2,16,A,223,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,NP,2,16,A,224,LITTER,LITTER,70,
6.18.2019,169,NP,2,16,A,225,POA PRATENSIS,GRASS,10,
6.18.2019,169,N5,2,17,C,226,AGROPYRON REPENS,GRASS,60,
6.18.2019,169,N5,2,17,C,227,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,N5,2,17,C,228,LITTER,LITTER,50,
6.18.2019,169,N5,2,17,C,229,POA PRATENSIS,GRASS,15,
6.18.2019,169,N5,2,17,C,230,RUMEX ACETOSELLA,FORB,0.25,
6.18.2019,169,NPK,2,18,B,231,AGROPYRON REPENS,GRASS,70,
6.18.2019,169,NPK,2,18,B,232,LITTER,LITTER,50,
6.18.2019,169,NPK,2,18,B,233,POA PRATENSIS,GRASS,3,
6.18.2019,169,NPK,2,18,B,234,POLYGONUM CONVULVULUS,FORB,0.5,
6.18.2019,169,P,2,19,D,235,AGROPYRON REPENS,GRASS,35,
6.18.2019,169,P,2,19,D,236,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,P,2,19,D,237,BARE GROUND,BARE GROUND,2,
6.18.2019,169,P,2,19,D,238,CAREX SP,GRAMINOID,5,
6.18.2019,169,P,2,19,D,239,LITTER,LITTER,50,
6.18.2019,169,P,2,19,D,240,POA PRATENSIS,GRASS,7,
6.18.2019,169,P,2,19,D,241,TRIFOLIUM REPENS,LEGUME,0.5,
6.18.2019,169,N1,2,20,D,242,ACHILLEA MILLEFOLIUM,FORB,4,
6.18.2019,169,N1,2,20,D,243,AGROPYRON REPENS,GRASS,60,
6.18.2019,169,N1,2,20,D,244,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,N1,2,20,D,245,LITTER,LITTER,40,
6.18.2019,169,N1,2,20,D,246,POA PRATENSIS,GRASS,5,
6.18.2019,169,C_H,2,21,C,247,AGROPYRON REPENS,GRASS,18,
6.18.2019,169,C_H,2,21,C,248,ANDROPOGON GERARDII,GRASS,1,
6.18.2019,169,C_H,2,21,C,249,LITTER,LITTER,75,
6.18.2019,169,C_H,2,21,C,250,POA PRATENSIS,GRASS,6,
6.18.2019,169,K,2,22,C,251,AGROPYRON REPENS,GRASS,40,
6.18.2019,169,K,2,22,C,252,ANDROPOGON GERARDII,GRASS,3,
6.18.2019,169,K,2,22,C,253,BARE GROUND,BARE GROUND,3,
6.18.2019,169,K,2,22,C,254,CAREX SP,GRAMINOID,4,
6.18.2019,169,K,2,22,C,255,EQUISETUM LAEVIGATUM,FORB,0.25,
6.18.2019,169,K,2,22,C,256,LITTER,LITTER,80,
6.18.2019,169,K,2,22,C,257,PANICUM OLIGOSANTHES,GRASS,0.25,
6.18.2019,169,K,2,22,C,258,POA PRATENSIS,GRASS,2,
6.18.2019,169,NPK_H,2,23,C,259,AGROPYRON REPENS,GRASS,30,
6.18.2019,169,NPK_H,2,23,C,260,CHENOPODIUM ALBUM,FORB,1,
6.18.2019,169,NPK_H,2,23,C,261,ERIGERON CANADENSIS,FORB,1,
6.18.2019,169,NPK_H,2,23,C,262,LITTER,LITTER,50,
6.18.2019,169,NPK_H,2,23,C,263,LYCHNIS ALBA,FORB,3,
6.18.2019,169,NPK_H,2,23,C,264,POA PRATENSIS,GRASS,5,
6.18.2019,169,NPK_H,2,23,C,265,POLYGONUM CONVULVULUS,FORB,2,
6.18.2019,169,NPK_H,2,23,C,266,POTENTILLA NORVEGICA,FORB,2,
6.18.2019,169,NPK_H,2,23,C,267,VERBASCUM THAPSUS,FORB,0.5,
6.18.2019,169,N10,2,24,C,268,AGROPYRON REPENS,GRASS,50,
6.18.2019,169,N10,2,24,C,269,BARE GROUND,BARE GROUND,3,
6.18.2019,169,N10,2,24,C,270,LITTER,LITTER,40,
6.18.2019,169,N10,2,24,C,271,POA PRATENSIS,GRASS,4,
6.18.2019,169,N10,2,24,C,272,POLYGONUM CONVULVULUS,FORB,3,
6.18.2019,169,NK,3,25,D,273,ACHILLEA MILLEFOLIUM,FORB,5,
6.18.2019,169,NK,3,25,D,274,AGROPYRON REPENS,GRASS,20,
6.18.2019,169,NK,3,25,D,275,BARE GROUND,BARE GROUND,8,
6.18.2019,169,NK,3,25,D,276,LITTER,LITTER,70,
6.18.2019,169,NK,3,25,D,277,POA PRATENSIS,GRASS,4,
6.18.2019,169,C,3,26,A,278,AGROPYRON REPENS,GRASS,25,
6.18.2019,169,C,3,26,A,279,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,C,3,26,A,280,EQUISETUM LAEVIGATUM,FORB,0.25,
6.18.2019,169,C,3,26,A,281,LITTER,LITTER,70,
6.18.2019,169,C,3,26,A,282,POA PRATENSIS,GRASS,4,
6.18.2019,169,C_H,3,27,B,283,AGROPYRON REPENS,GRASS,30,
6.18.2019,169,C_H,3,27,B,284,ANDROPOGON GERARDII,GRASS,1,
6.18.2019,169,C_H,3,27,B,285,LITTER,LITTER,60,
6.18.2019,169,C_H,3,27,B,286,POA PRATENSIS,GRASS,8,
6.18.2019,169,C_H,3,27,B,287,POLYGONUM CONVULVULUS,FORB,0.5,
6.18.2019,169,PK,3,28,D,288,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,PK,3,28,D,289,ANEMONE CANADENSIS,FORB,1,
6.18.2019,169,PK,3,28,D,290,EQUISETUM LAEVIGATUM,FORB,1,
6.18.2019,169,PK,3,28,D,291,LITTER,LITTER,60,
6.18.2019,169,PK,3,28,D,292,POA PRATENSIS,GRASS,8,
6.18.2019,169,PK,3,28,D,293,SCHIZACHYRIUM SCOPARIUM,GRASS,5,
6.18.2019,169,PK,3,28,D,294,SISYRINCHIUM CAMPESTRE,FORB,1,
6.18.2019,169,PK,3,28,D,295,SOLIDAGO SP,FORB,20,
6.18.2019,169,N1,3,29,B,296,ACHILLEA MILLEFOLIUM,FORB,2,
6.18.2019,169,N1,3,29,B,297,AGROPYRON REPENS,GRASS,30,
6.18.2019,169,N1,3,29,B,298,ANDROPOGON GERARDII,GRASS,3,
6.18.2019,169,N1,3,29,B,299,BARE GROUND,BARE GROUND,3,
6.18.2019,169,N1,3,29,B,300,LITTER,LITTER,60,
6.18.2019,169,N1,3,29,B,301,PANICUM OLIGOSANTHES,GRASS,0.5,
6.18.2019,169,N1,3,29,B,302,POA PRATENSIS,GRASS,4,
6.18.2019,169,N1,3,29,B,303,SOLIDAGO SP,FORB,1,
6.18.2019,169,K,3,30,D,304,ACHILLEA MILLEFOLIUM,FORB,6,
6.18.2019,169,K,3,30,D,305,AGROPYRON REPENS,GRASS,35,
6.18.2019,169,K,3,30,D,306,ANDROPOGON GERARDII,GRASS,2,
6.18.2019,169,K,3,30,D,307,EQUISETUM LAEVIGATUM,FORB,0.5,
6.18.2019,169,K,3,30,D,308,LITTER,LITTER,50,
6.18.2019,169,K,3,30,D,309,POA PRATENSIS,GRASS,6,
6.18.2019,169,K,3,30,D,310,RUMEX ACETOSELLA,FORB,0.5,
6.18.2019,169,P,3,31,B,311,ACHILLEA MILLEFOLIUM,FORB,1,
6.18.2019,169,P,3,31,B,312,BARE GROUND,BARE GROUND,8,
6.18.2019,169,P,3,31,B,313,LITTER,LITTER,50,
6.18.2019,169,P,3,31,B,314,PANICUM SP,GRASS,2,
6.18.2019,169,P,3,31,B,315,POA PRATENSIS,GRASS,3,
6.18.2019,169,P,3,31,B,316,RUMEX ACETOSELLA,FORB,0.5,
6.18.2019,169,P,3,31,B,317,SCHIZACHYRIUM SCOPARIUM,GRASS,8,
6.18.2019,169,P,3,31,B,318,SOLIDAGO SP,FORB,30,
6.18.2019,169,N10,3,32,C,319,AGROPYRON REPENS,GRASS,8,
6.18.2019,169,N10,3,32,C,320,ANDROPOGON GERARDII,GRASS,16,
6.18.2019,169,N10,3,32,C,321,LITTER,LITTER,75,
6.18.2019,169,N10,3,32,C,322,POA PRATENSIS,GRASS,3,
6.18.2019,169,N10,3,32,C,323,RUMEX ACETOSELLA,FORB,0.5,
6.18.2019,169,N10,3,32,C,324,SOLIDAGO SP,FORB,2,
6.18.2019,169,NPK,3,33,B,325,AGROPYRON REPENS,GRASS,80,
6.18.2019,169,NPK,3,33,B,326,LITTER,LITTER,60,
6.18.2019,169,NPK,3,33,B,327,POA PRATENSIS,GRASS,3,
6.18.2019,169,N5,3,34,C,328,ACHILLEA MILLEFOLIUM,FORB,1,
6.18.2019,169,N5,3,34,C,329,ANDROPOGON GERARDII,GRASS,4,
6.18.2019,169,N5,3,34,C,330,CAREX SP,GRAMINOID,5,
6.18.2019,169,N5,3,34,C,331,EQUISETUM LAEVIGATUM,FORB,1,
6.18.2019,169,N5,3,34,C,332,LITTER,LITTER,50,
6.18.2019,169,N5,3,34,C,333,POA PRATENSIS,GRASS,7,
6.18.2019,169,N5,3,34,C,334,RUMEX ACETOSELLA,FORB,1,
6.18.2019,169,N5,3,34,C,335,SCHIZACHYRIUM SCOPARIUM,GRASS,2,
6.18.2019,169,N5,3,34,C,336,SOLIDAGO SP,FORB,30,
6.18.2019,169,NP,3,35,B,337,AGROPYRON REPENS,GRASS,45,
6.18.2019,169,NP,3,35,B,338,BARE GROUND,BARE GROUND,3,
6.18.2019,169,NP,3,35,B,339,LITTER,LITTER,55,
6.18.2019,169,NP,3,35,B,340,VERBASCUM THAPSUS,FORB,0.25,
6.18.2019,169,NPK_H,3,36,C,341,AGROPYRON REPENS,GRASS,60,
6.18.2019,169,NPK_H,3,36,C,342,LITTER,LITTER,60,
6.18.2019,169,NPK_H,3,36,C,343,POA PRATENSIS,GRASS,1,
6.18.2019,169,NPK_H,3,36,C,344,POLYGONUM CONVULVULUS,FORB,1,
6.18.2019,169,C,4,39,A,345,AGROPYRON REPENS,GRASS,3,
6.18.2019,169,C,4,39,A,346,ANDROPOGON GERARDII,GRASS,15,
6.18.2019,169,C,4,39,A,347,ANEMONE CYLINDRICA,FORB,1,
6.18.2019,169,C,4,39,A,348,ASCLEPIAS OVALIFOLIA,FORB,0.5,
